goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkNewBoardFromFEN-8   	 2165923	       542 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2213887	       549 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2142721	       574 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2101454	       570 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2154397	       564 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2154402	       549 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2193648	       556 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2177725	       557 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2158398	       559 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2177728	       563 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2185797	       565 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2177858	       570 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2090470	       575 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 1993467	       556 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2105131	       553 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2123881	       552 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2158273	       586 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2165938	       553 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2027149	       567 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2173928	       554 ns/op	     208 B/op	       3 allocs/op
BenchmarkWriteFEN-8          	 1380897	       880 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1374572	       878 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1333340	       882 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1363688	       864 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1392055	       877 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1373044	       901 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1354353	       872 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1328907	       904 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1342232	       881 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1247356	       890 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1360558	       879 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1363644	       873 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1392142	       861 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1384082	       881 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1358955	       875 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1348263	       882 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1357416	       880 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1343733	       903 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1318677	       905 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1314298	       931 ns/op	      96 B/op	       1 allocs/op
BenchmarkGenerateMoves10-8   	 3380281	       349 ns/op	       0 B/op	       0 allocs/op
