goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkEvaluate-8             	11009001	       101 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12245234	        99.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	11880552	        99.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12240500	        99.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	11999988	       106 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12117038	       102 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	11881222	       101 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	11995825	        99.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12003913	        98.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12376952	       104 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12005498	       100 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12240687	        98.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12115668	        98.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12121431	        98.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	11765374	        97.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12240363	        97.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12371337	        97.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12371439	        97.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12244934	        98.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12121297	        97.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewBoardFromFEN-8      	 1675815	       727 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1606347	       751 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1615011	       753 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1627734	       766 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1584562	       732 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1643761	       729 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1625679	       734 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1645611	       745 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1603215	       730 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1651369	       730 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1684920	       723 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1655172	       728 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1650375	       729 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1652170	       725 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1626964	       716 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1682870	       726 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1668934	       728 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1655004	       722 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1626392	       725 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1643542	       720 ns/op	     304 B/op	       4 allocs/op
BenchmarkWriteFEN-8             	 1396618	       859 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1401867	       861 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1392061	       861 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1391792	       860 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1400922	       857 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1393347	       859 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1398842	       860 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1398930	       862 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1392969	       861 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1400235	       859 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1396495	       861 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1405101	       863 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1396734	       862 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1369520	       878 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1385680	       891 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1333074	       870 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1401042	       855 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1400040	       903 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1382535	       865 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1398649	       855 ns/op	      96 B/op	       1 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3680454	       329 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3692202	       327 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3703242	       327 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3625527	       335 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3692136	       324 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3614460	       330 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3714596	       651 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3727029	       327 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3715161	       325 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3715581	       327 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3647546	       327 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3703723	       329 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3703710	       324 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3603097	       335 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3428550	       360 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3278461	       357 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3166286	       357 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3636040	       326 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3635842	       329 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3613917	       330 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4332151	       269 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4427991	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4493805	       262 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4461098	       267 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4461184	       269 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/20-8         	 4495208	       271 ns/op	       0 B/op	       0 allocs/op
