goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkNewBoardFromFEN-8   	 2044288	       575 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2065480	       572 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2079136	       563 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2073538	       569 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2145128	       591 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2112675	       579 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2031651	       565 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2127534	       586 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2120118	       571 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2158146	       562 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2177730	       567 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2138498	       584 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2010138	       596 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2138229	       565 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2154096	       556 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2131426	       560 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2119917	       560 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2095834	       558 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2116410	       572 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2094240	       565 ns/op	     208 B/op	       3 allocs/op
BenchmarkWriteFEN-8          	 1373871	       869 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1342264	       867 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1371368	       877 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1342096	       908 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1385628	       896 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1346752	       871 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1396912	       870 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1382486	       870 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1368379	       895 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1368297	       882 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1375261	       885 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1244821	       869 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1382126	       866 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1376346	       865 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1366737	       884 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1363257	       883 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1366743	       863 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1376088	       864 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1376102	       895 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1388097	       882 ns/op	      96 B/op	       1 allocs/op
BenchmarkGenerateLegalMoves10-8   	 3749995	       326 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves10-8   	 3786021	       334 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves10-8   	 3715179	       324 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves10-8   	 3750108	       324 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves10-8   	 3761769	       322 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves10-8   	 3715177	       329 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves10-8   	 3749427	       327 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves10-8   	 3783834	       332 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves10-8   	 3681486	       326 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves10-8   	 3737938	       330 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves10-8   	 3773028	       322 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves10-8   	 3773046	       319 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves10-8   	 3749856	       324 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves10-8   	 3773194	       331 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves10-8   	 3647464	       333 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves10-8   	 3561328	       328 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves10-8   	 3761378	       325 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves10-8   	 3726328	       327 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves10-8   	 3761748	       324 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves10-8   	 3539636	       323 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4444430	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4379395	       272 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4494554	       270 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4493864	       270 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4411754	       277 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4477098	       288 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4460424	       266 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4527492	       272 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4332092	       270 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4563511	       269 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4580376	       267 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves20-8   	 4428764	       275 ns/op	       0 B/op	       0 allocs/op
