goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkEvaluate-8             	12000216	        98.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	11536941	        98.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	11210290	        98.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12127262	        97.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12240525	        99.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12239102	        98.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12121064	        98.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12220170	        98.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12238915	        97.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12239052	        97.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12243685	        97.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12365677	        97.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12115459	        97.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12365384	        97.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12240301	        98.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12244784	        97.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12228538	        98.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12115948	        97.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	12238890	        97.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkEvaluate-8             	11761327	        97.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewBoardFromFEN-8      	 1731337	       696 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1744893	       714 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1722608	       701 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1689802	       704 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1705381	       708 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1717131	       695 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1686830	       697 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1709578	       699 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1729016	       699 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1696371	       704 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1697136	       705 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1724486	       703 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1714003	       712 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1692319	       709 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1666669	       721 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1646090	       742 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1700778	       703 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1698352	       708 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1705280	       710 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1692442	       713 ns/op	     304 B/op	       4 allocs/op
BenchmarkWriteFEN-8             	 1399911	       855 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1403511	       859 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1403154	       856 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1403287	       856 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1393432	       857 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1405155	       859 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1398603	       857 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1406806	       859 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1403240	       860 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1390801	       854 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1401865	       858 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1399994	       854 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1395348	       858 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1393546	       862 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1403419	       862 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1403041	       857 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1402990	       856 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1403278	       852 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1401956	       854 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1400239	       854 ns/op	      96 B/op	       1 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3726162	       317 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3702062	       325 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3529448	       328 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3669051	       336 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3703357	       331 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3613939	       327 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/10-8         	 3625063	       331 ns/op	       0 B/op	       0 allocs/op
