goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkNewBoardFromFEN-8   	 2608531	       465 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2580417	       456 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2631390	       461 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2642988	       481 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2580469	       456 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2569426	       466 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2602854	       458 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2505219	       464 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2563944	       465 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2614179	       460 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2614563	       462 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2602867	       476 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2542557	       461 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2608712	       457 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2643354	       460 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2631568	       462 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2727282	       452 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2643000	       455 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2637346	       486 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2348336	       480 ns/op	     208 B/op	       3 allocs/op
BenchmarkWriteFEN-8          	 1352817	       881 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1349788	       863 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1387335	       866 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1380895	       866 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1373000	       863 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1388844	       894 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1238392	       886 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1371433	       874 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1382487	       869 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1387282	       871 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1377674	       865 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1390440	       861 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1392068	       866 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1390495	       869 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1371483	       867 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1392163	       866 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1387285	       857 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1354351	       874 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1385630	       867 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1376094	       869 ns/op	      96 B/op	       1 allocs/op
BenchmarkGenerateMoves10-8   	 3784928	       325 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves10-8   	 3726466	       334 ns/op	       0 B/op	       0 allocs/op
