goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkNewBoardFromFEN-8   	 2101753	       554 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2181829	       551 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2217981	       544 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2218120	       548 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2205742	       573 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2185782	       553 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2154360	       563 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2197839	       544 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2173915	       554 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2139036	       615 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2176290	       552 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2209818	       545 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2197818	       543 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2189768	       543 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2197803	       544 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2142738	       562 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2173922	       548 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2225695	       540 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2226195	       539 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8   	 2222085	       542 ns/op	     208 B/op	       3 allocs/op
BenchmarkWriteFEN-8          	 1368250	       882 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1368276	       867 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1379260	       865 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1385630	       869 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1390495	       864 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1380900	       864 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1380843	       865 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1392061	       862 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1368356	       859 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1395370	       863 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1396916	       864 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1392168	       863 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1376096	       863 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1393783	       864 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1387226	       865 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1380838	       902 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1374520	       877 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1357507	       863 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1379259	       874 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8          	 1393730	       867 ns/op	      96 B/op	       1 allocs/op
BenchmarkGenerateMoves10-8   	 3785305	       317 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves10-8   	 3715326	       317 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves10-8   	 3797450	       317 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves10-8   	 3774025	       318 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves10-8   	 3749619	       327 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves10-8   	 3582070	       333 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves10-8   	 3625477	       336 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves10-8   	 3550288	       327 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves10-8   	 3773203	       320 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves10-8   	 3750430	       323 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves10-8   	 3726364	       336 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves10-8   	 3539792	       332 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves10-8   	 3625033	       320 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves10-8   	 3603608	       326 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves10-8   	 3625584	       332 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves10-8   	 3703185	       340 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves10-8   	 3571501	       330 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves10-8   	 3749827	       324 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves10-8   	 3715293	       334 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves10-8   	 3715142	       334 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4562094	       264 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4580230	       262 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4580354	       261 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4562222	       259 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4211144	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4396267	       267 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4668675	       264 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4511416	       265 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4687568	       262 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4650582	       260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 3947955	       261 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4670108	       283 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4512093	       262 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4510681	       268 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4687588	       257 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4687693	       256 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4705470	       258 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4669460	       260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4650632	       258 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves20-8   	 4651386	       256 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4668589	       260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4634058	       257 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4632637	       256 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4669482	       257 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4669228	       257 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4494414	       259 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4615371	       258 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4528558	       262 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves30-8   	 4478124	       260 ns/op	       0 B/op	       0 allocs/op
