goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkNewBoardFromFEN-8      	 1548453	       712 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1686631	       725 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1657324	       720 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1682894	       721 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1693045	       708 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1642870	       717 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1678234	       720 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1669227	       725 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1621642	       718 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1678076	       722 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1636263	       715 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1645406	       730 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1670664	       723 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1683285	       722 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1651761	       721 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1671050	       721 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1690138	       718 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1673559	       720 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1660956	       730 ns/op	     304 B/op	       4 allocs/op
BenchmarkNewBoardFromFEN-8      	 1681413	       729 ns/op	     304 B/op	       4 allocs/op
BenchmarkWriteFEN-8             	 1413129	       856 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1413426	       850 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1415034	       850 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1406442	       852 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1411760	       848 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1403904	       851 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1414788	       857 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1416763	       853 ns/op	      96 B/op	       1 allocs/op
BenchmarkWriteFEN-8             	 1404871	       845 ns/op	      96 B/op	       1 allocs/op
