goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkNewBoardFromFEN-8        	 1989890	       567 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8        	 2198139	       553 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8        	 2168037	       550 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8        	 2161996	       554 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8        	 2181945	       551 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8        	 2183748	       550 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8        	 2177727	       552 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8        	 2189866	       549 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8        	 2177314	       553 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8        	 2158866	       551 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8        	 2189868	       549 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8        	 2197813	       555 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8        	 2177829	       548 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8        	 2173597	       557 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8        	 2189781	       552 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8        	 2176965	       556 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8        	 2160561	       569 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8        	 2086675	       554 ns/op	     208 B/op	       3 allocs/op
BenchmarkNewBoardFromFEN-8        	 2116410	       553 ns/op	     208 B/op	       3 allocs/op
